CAN_ID,p_des,p_act,tff_des,tff_act
0x0001,0,-0.565919,31.4651,0.152626
0x0001,0.0193391,-0.507172,29.2624,11.6789
0x0001,0.0768802,-0.429732,28.1215,-11.337
0x0001,0.171207,-0.451095,34.4972,-4.5116
0x0001,0.299995,-0.507553,44.7197,0.750916
0x0001,0.460076,-0.53502,55.0513,4.0232
0x0001,0.647505,-0.502594,63.557,4.96337
0x0001,0.85767,-0.40341,69.6014,4.96337
0x0001,1.08539,-0.249294,73.5574,4.93895
0x0001,1.32507,-0.0558863,75.9861,3.6569
0x0001,1.5708,0.161937,77.3901,3.79121
0x0001,1.81652,0.396162,77.8822,4.58486
0x0001,2.0562,0.648699,77.0233,2.69231
0x0001,2.28392,0.905432,75.2738,3.48596
0x0001,2.49409,1.16751,72.2615,1.93529
0x0001,2.68152,1.43606,67.6382,1.9475
0x0001,2.8416,1.70958,61.2351,-0.518925
0x0001,2.97039,1.97547,53.535,-6.73382
0x0001,3.06471,2.20855,45.7637,-8.96825
0x0001,3.12225,2.38594,39.0658,-9.45665
0x0001,3.14159,2.48474,34.636,-6.7094
0x0001,3.12225,2.51793,31.7271,-4.08425
0x0001,3.06471,2.50534,29.2622,-2.52137
0x0001,2.97039,2.46033,26.5771,-1.65446
0x0001,2.8416,2.39242,23.2691,-1.37363
0x0001,2.68152,2.29896,19.6611,-1.41026
0x0001,2.49409,2.28332,10.2221,-23.4615
0x0001,2.28392,2.43133,-9.56643,12.326
0x0001,2.0562,2.61444,-32.2721,-9.04151
0x0001,1.81652,2.67472,-48.8054,22.8022
0x0001,1.5708,2.55417,-55.618,-21.4835
0x0001,1.32507,2.34817,-57.6796,-10.1526
0x0001,1.08539,2.11357,-57.8176,-5.56166
0x0001,0.85767,1.86446,-56.4922,-3.87668
0x0001,0.647506,1.61078,-53.9466,-2.08181
0x0001,0.460076,1.33879,-49.1324,-2.72894
0x0001,0.299996,1.07519,-43.2807,-2.15507
0x0001,0.171207,0.806249,-35.4111,-1.16606
0x0001,0.0768802,0.531587,-25.3278,-2.37485
0x0001,0.0193392,0.255779,-13.1577,-2.97314
0x0001,0,-0.0116348,0.646896,-1.76435
0x0001,0.0193391,-0.277905,16.5151,5.89133
0x0001,0.0768802,-0.499161,31.9818,-19.42
0x0001,0.171207,-0.559052,40.4997,-22.3871
0x0001,0.299995,-0.505264,44.5924,-3.64469
0x0001,0.460076,-0.473221,51.6152,0.0671558
0x0001,0.647505,-0.424773,59.2302,2.33822
0x0001,0.85767,-0.332837,65.6776,3.4127
0x0001,1.08539,-0.198558,70.7365,3.55922
0x0001,1.32507,-0.0204086,74.0135,3.54701
0x0001,1.5708,0.193217,75.6509,3.08303
0x0001,1.81652,0.423247,76.3762,3.44933
0x0001,2.0562,0.670062,75.8355,3.49817
0x0001,2.28392,0.925651,74.1496,1.98413
0x0001,2.49409,1.18391,71.3494,1.9475
0x0001,2.68152,1.4498,66.8747,0.982906
0x0001,2.8416,1.7195,60.6836,-3.26618
0x0001,2.97039,1.97051,53.8107,-6.42857
0x0001,3.06471,2.19635,46.4424,-8.2967
0x0001,3.12225,2.36915,39.999,-8.46764
0x0001,3.14159,2.47025,35.442,-6.4652
0x0001,3.12225,2.50763,32.2997,-3.99878
0x0001,3.06471,2.49847,29.644,-2.48474
0x0001,2.97039,2.45727,26.7468,-1.67888
0x0001,2.8416,2.38975,23.4176,-1.32479
0x0001,2.68152,2.29706,19.7672,-1.39805
0x0001,2.49409,2.28256,10.2645,-23.2662
0x0001,2.28392,2.43133,-9.56643,11.8376
0x0001,2.0562,2.61788,-32.463,-9.43223
0x0001,1.81652,2.67853,-49.0175,23.6569
0x0001,1.5708,2.55837,-55.8513,-20.1648
0x0001,1.32507,2.35084,-57.8281,-11.398
0x0001,1.08539,2.11471,-57.8812,-6.18437
0x0001,0.85767,1.86332,-56.4286,-3.81563
0x0001,0.647506,1.6043,-53.586,-3.37607
0x0001,0.460076,1.34298,-49.3658,-2.11844
0x0001,0.299996,1.06756,-42.8565,-2.50916
0x0001,0.171207,0.794042,-34.7324,-2.558
0x0001,0.0768802,0.515945,-24.4582,-2.65568
0x0001,0.0193392,0.243954,-12.5002,-1.64225
