CAN_ID,p_des,p_act,tff_des,tff_act
0x0001,0,-0.483902,27.0985,0.0427341
0x0001,0.0193391,-0.431258,25.2141,7.77167
0x0001,0.0768802,-0.390059,26.0717,-11.0684
0x0001,0.171207,-0.438125,33.9513,-2.02076
0x0001,0.299995,-0.495728,44.2605,2.28938
0x0001,0.460076,-0.51442,54.1116,3.32723
0x0001,0.647505,-0.481232,62.5618,3.08303
0x0001,0.85767,-0.400358,69.5919,2.76557
0x0001,1.08539,-0.278286,75.2807,2.52137
0x0001,1.32507,-0.117685,79.4692,1.9475
0x0001,1.5708,0.071908,82.3669,1.44689
0x0001,1.81652,0.279049,84.282,1.2149
0x0001,2.0562,0.495346,85.3516,0.775335
0x0001,2.28392,0.726139,84.952,0.714285
0x0001,2.49409,0.971046,82.7962,-0.482296
0x0001,2.68152,1.2087,79.7959,-1.0928
0x0001,2.8416,1.44369,75.441,-2.42369
0x0001,2.97039,1.66915,69.899,-3.94994
0x0001,3.06471,1.87629,63.4871,-4.97558
0x0001,3.12225,2.05673,56.5473,-5.41514
0x0001,3.14159,2.19673,49.7709,-4.74359
0x0001,3.12225,2.29706,43.0888,-3.70574
0x0001,3.06471,2.35618,36.6129,-2.89988
0x0001,2.97039,2.37755,30.2287,-2.35043
0x0001,2.8416,2.36381,23.9143,-2.10623
0x0001,2.68152,2.31498,17.8443,-1.81319
0x0001,2.49409,2.34169,6.04034,-23.4615
0x0001,2.28392,2.47101,-12.7607,3.86447
0x0001,2.0562,2.60071,-32.5488,-14.2308
0x0001,1.81652,2.57019,-44.0219,-23.8156
0x0001,1.5708,2.40768,-48.4364,-12.094
0x0001,1.32507,2.19406,-49.9883,-9.22466
0x0001,1.08539,1.95487,-49.7761,-4.84127
0x0001,0.85767,1.70157,-48.1161,-4.95116
0x0001,0.647506,1.44484,-45.2981,-3.20513
0x0001,0.460076,1.18429,-41.0161,-2.91209
0x0001,0.299996,0.924506,-35.2726,-1.4591
0x0001,0.171207,0.662433,-27.6799,-2.04518
0x0001,0.0768802,0.395399,-17.9139,-2.53358
0x0001,0.0193392,0.131418,-6.29577,-2.6801
0x0001,0,-0.132181,7.40215,7.0757
0x0001,0.0193391,-0.351149,20.728,-24.7192
0x0001,0.0768802,-0.41867,27.6739,22.79
0x0001,0.171207,-0.299649,26.1967,18.1258
0x0001,0.299995,-0.168803,25.9527,-23.0098
0x0001,0.460076,-0.183299,35.5689,-5.04884
0x0001,0.647505,-0.228695,48.4197,2.02076
0x0001,0.85767,-0.230602,60.0856,3.779
0x0001,1.08539,-0.173381,69.406,3.74237
0x0001,1.32507,-0.0623713,76.3716,3.27839
0x0001,1.5708,0.0921259,81.2347,2.70452
0x0001,1.81652,0.277523,84.3675,2.42369
0x0001,2.0562,0.494965,85.3729,1.43468
0x0001,2.28392,0.721943,85.187,0.946276
0x0001,2.49409,0.958838,83.4798,-0.140415
0x0001,2.68152,1.19917,80.33,-0.982906
0x0001,2.8416,1.44446,75.3982,-2.76557
0x0001,2.97039,1.66953,69.8777,-3.85226
0x0001,3.06471,1.87934,63.3162,-4.93895
0x0001,3.12225,2.0594,56.3978,-5.42735
0x0001,3.14159,2.19978,49.6,-4.68254
0x0001,3.12225,2.29667,43.1102,-3.71795
0x0001,3.06471,2.3558,36.6342,-2.88767
0x0001,2.97039,2.37755,30.2287,-2.38706
0x0001,2.8416,2.36381,23.9143,-2.11844
0x0001,2.68152,2.31537,17.823,-1.86203
0x0001,2.49409,2.34169,6.04034,-21.862
0x0001,2.28392,2.50191,-14.491,2.59463
0x0001,2.0562,2.63123,-34.2578,-15.2686
0x0001,1.81652,2.60109,-45.7523,24.1453
0x0001,1.5708,2.44469,-50.5086,-13.9255
0x0001,1.32507,2.23259,-52.146,-9.77411
0x0001,1.08539,1.99111,-51.8056,-4.68254
0x0001,0.85767,1.74277,-50.4233,-3.37607
0x0001,0.647506,1.48222,-47.3917,-2.58242
0x0001,0.460076,1.22015,-43.0242,-3.70574
0x0001,0.299996,0.96189,-37.3661,-2.71673
0x0001,0.171207,0.697528,-29.6452,-1.43468
0x0001,0.0768802,0.43164,-19.9434,-2.3138
0x0001,0.0193392,0.164989,-8.1757,-1.43468
