CAN_ID,p_des
4,0
4,1.96616e-06
4,7.77102e-06
4,1.74146e-05
4,3.09905e-05
4,4.8405e-05
4,6.97519e-05
4,9.49375e-05
4,0.000124055
4,0.000157012
4,0.000193807
4,0.000234441
4,0.000279008
4,0.000327506
4,0.000379844
4,0.00043602
4,0.000496035
4,0.000559982
4,0.000627861
4,0.000699485
4,0.000775136
4,0.000854531
4,0.000937859
4,0.00102503
4,0.00111612
4,0.00121106
4,0.00130984
4,0.00141255
4,0.00151909
4,0.00162948
4,0.0017438
4,0.00186196
4,0.00198395
4,0.00210988
4,0.00223965
4,0.00237334
4,0.00251088
4,0.00265226
4,0.00279747
4,0.00294662
4,0.00309961
4,0.00325643
4,0.00341719
4,0.00358179
4,0.00375031
4,0.00392259
4,0.00409879
4,0.00427884
4,0.00446281
4,0.00465063
4,0.00484228
4,0.00503777
4,0.00523711
4,0.00544037
4,0.00564747
4,0.00585851
4,0.00607329
4,0.006292
4,0.00651455
4,0.00674094
4,0.00697126
4,0.00720542
4,0.00744333
4,0.00768526
4,0.00793094
4,0.00818045
4,0.0084339
4,0.00869118
4,0.00895231
4,0.00921727
4,0.00948608
4,0.00975881
4,0.0100353
4,0.0103157
4,0.0106
4,0.010888
4,0.01118
4,0.0114757
4,0.0117754
4,0.0120789
4,0.0123862
4,0.0126974
4,0.0130123
4,0.0133312
4,0.013654
4,0.0139804
4,0.0143108
4,0.0146451
4,0.0149832
4,0.015325
4,0.0156708
4,0.0160204
4,0.0163738
4,0.016731
4,0.0170921
4,0.0174571
4,0.0178258
4,0.0181984
4,0.0185748
4,0.018955
4,0.0193391
4,0.019727
4,0.0201187
4,0.0205143
4,0.0209137
4,0.0213168
4,0.0217239
4,0.0221348
4,0.0225494
4,0.0229679
4,0.0233902
4,0.0238163
4,0.0242462
4,0.02468
4,0.0251176
4,0.025559
4,0.0260042
4,0.0264532
4,0.0269061
4,0.0273627
4,0.0278232
4,0.0282874
4,0.0287554
4,0.0292273
4,0.029703
4,0.0301825
4,0.0306657
4,0.0311527
4,0.0316436
4,0.0321383
4,0.0326367
4,0.033139
4,0.0336451
4,0.0341549
4,0.0346685
4,0.035186
4,0.0357072
4,0.0362322
4,0.036761
4,0.0372935
4,0.0378299
4,0.03837
4,0.0389139
4,0.0394616
4,0.0400131
4,0.0405684
4,0.0411274
4,0.0416902
4,0.0422568
4,0.0428271
4,0.0434012
4,0.0439791
4,0.0445608
4,0.0451462
4,0.0457354
4,0.0463283
4,0.0469251
4,0.0475255
4,0.0481298
4,0.0487377
4,0.0493494
4,0.0499649
4,0.0505842
4,0.0512072
4,0.0518339
4,0.0524644
4,0.0530986
4,0.0537367
4,0.0543784
4,0.0550239
4,0.0556731
4,0.056326
4,0.0569827
4,0.0576431
4,0.0583073
4,0.0589752
4,0.0596468
4,0.0603221
4,0.0610012
4,0.061684
4,0.0623706
4,0.0630608
4,0.0637548
4,0.0644525
4,0.0651538
4,0.0658589
