CAN_ID,p_des,p_act,tff_des,tff_act
0x0004,0,0.0196457,-0.157166,0.00610542
0x0004,0.000775136,0.0196457,-0.15174,-0.0793648
0x0004,0.00309961,0.0192642,-0.132417,-0.238094
0x0004,0.00697126,0.0196457,-0.108367,-0.250305
0x0004,0.0123862,0.0196457,-0.0704624,-0.189255
0x0004,0.0193391,0.0196457,-0.021792,-0.152626
0x0004,0.0278232,0.0196457,0.0375966,-0.0793648
0x0004,0.0378299,0.0196457,0.107644,0.0183144
0x0004,0.0493494,0.0200272,0.185229,0.128204
0x0004,0.0623705,0.0204086,0.273324,0.213675
0x0004,0.0768802,0.0226974,0.356582,0.201466
0x0004,0.0928643,0.0265121,0.437953,0.201466
0x0004,0.110307,0.0307083,0.526481,0.225885
0x0004,0.129191,0.0356684,0.618988,0.262516
0x0004,0.149497,0.0413904,0.715358,0.311356
0x0004,0.171207,0.0482569,0.812391,0.335775
0x0004,0.194297,0.0566492,0.906885,0.347986
0x0004,0.218746,0.0669489,0.99563,0.335775
0x0004,0.244529,0.078393,1.08456,0.238094
0x0004,0.271621,0.0909815,1.1735,0.311356
0x0004,0.299995,0.104715,1.26224,0.250305
0x0004,0.329624,0.119974,1.34757,0.311356
0x0004,0.360477,0.135996,1.43537,0.250305
0x0004,0.392525,0.153925,1.51627,0.335775
0x0004,0.425735,0.172236,1.60225,0.225885
0x0004,0.460076,0.192836,1.67784,0.286936
0x0004,0.495512,0.213817,1.75805,0.335775
0x0004,0.53201,0.235943,1.83653,0.238094
0x0004,0.569533,0.259594,1.90998,0.201466
0x0004,0.608044,0.284009,1.98424,0.250305
0x0004,0.647505,0.311093,2.04379,0.299145
0x0004,0.687878,0.337796,2.11278,0.323565
0x0004,0.729121,0.366026,2.17564,0.323565
0x0004,0.771196,0.395018,2.23823,0.323565
0x0004,0.814059,0.424392,2.30328,0.323565
0x0004,0.85767,0.455672,2.35831,0.311356
0x0004,0.901984,0.487335,2.4152,0.323565
0x0004,0.946958,0.51976,2.47062,0.299145
0x0004,0.992548,0.554093,2.51509,0.262516
0x0004,1.03871,0.589189,2.55745,0.201466
0x0004,1.08539,0.625811,2.59127,0.189255
0x0004,1.13256,0.662433,2.62845,0.250305
0x0004,1.18016,0.699435,2.6656,0.262516
0x0004,1.22814,0.737202,2.69935,0.164835
0x0004,1.27646,0.775349,2.73242,0.177046
0x0004,1.32507,0.81426,2.76141,0.286936
0x0004,1.37392,0.854315,2.78294,0.189255
0x0004,1.42297,0.894751,2.80279,0.152626
0x0004,1.47217,0.936332,2.8145,0.250305
0x0004,1.52146,0.977531,2.82994,0.128204
0x0004,1.5708,1.01987,2.83658,0.177046
0x0004,1.62014,1.0626,2.84015,0.201466
0x0004,1.66943,1.10533,2.84339,0.128204
0x0004,1.71862,1.14919,2.83679,0.201466
0x0004,1.76767,1.19192,2.83832,0.103785
0x0004,1.81652,1.23655,2.82324,0.189255
0x0004,1.86513,1.2808,2.80951,0.0915756
0x0004,1.91345,1.32544,2.79069,0.177046
0x0004,1.96144,1.36969,2.77256,0.0671558
0x0004,2.00903,1.41432,2.74867,0.177046
0x0004,2.0562,1.45781,2.73093,0.0793648
0x0004,2.10288,1.50282,2.69761,0.164835
0x0004,2.14904,1.54707,2.66672,0.0793648
0x0004,2.19463,1.59247,2.62269,0.115995
0x0004,2.23961,1.63672,2.58349,0.054945
0x0004,2.28392,1.68021,2.54579,0.0915756
0x0004,2.32753,1.72522,2.49094,0.0793648
0x0004,2.3704,1.76833,2.44614,0.0793648
0x0004,2.41247,1.8122,2.3897,0.0671558
0x0004,2.45371,1.85531,2.33355,0.0427341
0x0004,2.49409,1.89689,2.28352,0.103785
0x0004,2.53355,1.93999,2.21489,-0.00610542
0x0004,2.57206,1.98119,2.15487,0.103785
0x0004,2.60958,2.02125,2.0971,0.0427341
0x0004,2.64608,2.06168,2.02909,-0.00610542
0x0004,2.68152,2.10136,1.95975,0.115995
0x0004,2.71586,2.14103,1.88275,0.0427341
0x0004,2.74907,2.17918,1.81004,-0.0305252
0x0004,2.78112,2.21656,1.7353,0.00610542
0x0004,2.81197,2.25357,1.65525,0.0671558
0x0004,2.8416,2.28981,1.57272,0.0305252
0x0004,2.86997,2.32528,1.48753,-0.0427341
0x0004,2.89706,2.35924,1.40556,-0.054945
0x0004,2.92285,2.39319,1.31443,-0.0427341
0x0004,2.9473,2.42599,1.22312,0.00610542
0x0004,2.97039,2.45766,1.13145,0.0305252
0x0004,2.9921,2.48932,1.03012,0.0427341
0x0004,3.0124,2.51945,0.931175,0.0427341
0x0004,3.03129,2.54768,0.837523,0.0183144
0x0004,3.04873,2.57591,0.733792,0.0305252
0x0004,3.06471,2.60567,0.607634,0.00610542
0x0004,3.07922,2.63199,0.49863,-0.0305252
0x0004,3.09224,2.65526,0.403622,-0.128204
0x0004,3.10376,2.67777,0.304198,-0.0427341
0x0004,3.11377,2.69913,0.203345,0.0427341
0x0004,3.12225,2.71897,0.104034,-0.0793648
0x0004,3.12921,2.73842,-0.00293255,-0.0427341
0x0004,3.13462,2.75635,-0.108462,0.054945
0x0004,3.13849,2.77237,-0.209534,-0.128204
0x0004,3.14082,2.78801,-0.318393,0.0305252
0x0004,3.14159,2.80175,-0.422829,-0.128204
0x0004,3.14082,2.81472,-0.532015,-0.0183144
0x0004,3.13849,2.82502,-0.630684,-0.0427341
0x0004,3.13462,2.83494,-0.737132,-0.0915756
0x0004,3.12921,2.84371,-0.845225,0.0183144
0x0004,3.12225,2.85134,-0.954941,-0.0427341
0x0004,3.11377,2.85706,-1.0601,-0.0793648
0x0004,3.10376,2.86164,-1.16677,-0.0305252
0x0004,3.09224,2.86507,-1.27488,-0.0915756
0x0004,3.07922,2.86812,-1.39044,-0.128204
0x0004,3.06471,2.86965,-1.50421,-0.189255
0x0004,3.04873,2.86927,-1.61305,-0.177046
0x0004,3.03129,2.86851,-1.72904,-0.274725
0x0004,3.0124,2.8666,-1.84597,-0.335775
0x0004,2.9921,2.86355,-1.9637,-0.409035
0x0004,2.97039,2.85935,-2.0821,-0.433455
0x0004,2.9473,2.85325,-2.1949,-0.409035
0x0004,2.92285,2.84524,-2.30196,-0.360195
0x0004,2.89706,2.83494,-2.40004,-0.360195
0x0004,2.86997,2.82311,-2.49507,-0.250305
0x0004,2.8416,2.81052,-2.59299,-0.323565
0x0004,2.81197,2.79641,-2.68747,-0.238094
0x0004,2.78112,2.78077,-2.77832,-0.323565
0x0004,2.74907,2.76398,-2.86837,-0.262516
0x0004,2.71586,2.74567,-2.95436,-0.335775
0x0004,2.68152,2.72622,-3.0391,-0.213675
0x0004,2.64608,2.70562,-3.12236,-0.250305
0x0004,2.60958,2.68349,-3.20084,-0.335775
0x0004,2.57206,2.66098,-3.28345,-0.299145
0x0004,2.53355,2.63619,-3.35465,-0.238094
0x0004,2.49409,2.61101,-3.42946,-0.225885
0x0004,2.45372,2.58392,-3.49539,-0.250305
0x0004,2.41247,2.55646,-3.56437,-0.262516
0x0004,2.3704,2.52785,-3.63,-0.274725
0x0004,2.32753,2.49771,-3.68896,-0.262516
0x0004,2.28392,2.46643,-3.74398,-0.250305
0x0004,2.23961,2.43477,-3.80088,-0.250305
0x0004,2.19463,2.4012,-3.84714,-0.177046
0x0004,2.14905,2.36763,-3.89771,-0.140415
0x0004,2.10288,2.33291,-3.94311,-0.201466
0x0004,2.0562,2.29744,-3.9861,-0.274725
0x0004,2.00903,2.2612,-4.02633,-0.299145
0x0004,1.96144,2.22343,-4.05738,-0.189255
0x0004,1.91346,2.18643,-4.09723,-0.164835
0x0004,1.86513,2.14752,-4.12419,-0.250305
0x0004,1.81652,2.10784,-4.14709,-0.213675
0x0004,1.76767,2.06817,-4.17167,-0.140415
0x0004,1.71862,2.02773,-4.19151,-0.238094
0x0004,1.66943,1.98653,-4.20628,-0.189255
0x0004,1.62014,1.94495,-4.21867,-0.164835
0x0004,1.5708,1.90261,-4.2253,-0.225885
0x0004,1.52146,1.85988,-4.22888,-0.0915756
0x0004,1.47217,1.81792,-4.23822,-0.213675
0x0004,1.42297,1.77443,-4.23467,-0.140415
0x0004,1.37392,1.73171,-4.23621,-0.189255
0x0004,1.32507,1.68708,-4.22112,-0.152626
0x0004,1.27646,1.64321,-4.21043,-0.140415
0x0004,1.22814,1.59896,-4.19467,-0.152626
0x0004,1.18016,1.5547,-4.17654,-0.103785
