CAN_ID,p_act,tff_des,tff_act
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0366287,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0366287,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,-0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
0x0004,1.30903,-0.0122108,0.0183144
0x0004,1.30903,0.0366287,0.00610542
0x0004,1.30903,-0.0122108,0.00610542
